"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"182","554.1","2174.2","125.1","179","915","19","0"
"183","557.1","2186.4","124.6","181","922","20","0"
"184","560.1","2198.5","124.3","182","927","20","0"
"185","563.1","2210.5","124.3","182","927","19","0"
"186","566.1","2222.5","125.6","177","907","20","0"
"187","569.1","2234.5","125.2","178","913","20","0"
"188","572.1","2246.6","125.4","177","910","20","0"
"189","575.1","2258.4","125.4","177","910","20","0"
"190","578.1","2270.3","126.6","172","893","20","0"
"191","581.1","2282.1","126.1","175","900","20","0"
"192","584.1","2294.0","126.8","172","890","20","0"
"193","587.1","2305.9","126.8","172","890","20","0"
"194","590.1","2318.0","125.5","177","909","20","0"
"195","593.1","2330.0","124.8","180","919","20","0"
"196","596.1","2342.0","125.4","177","910","20","0"
"197","599.1","2354.1","125.4","177","910","20","0"
"198","602.1","2366.0","124.8","180","919","20","0"
"199","605.6","2380.3","125.3","178","912","19","0"
"200","608.6","2392.2","125.3","178","912","19","0"
"201","611.6","2404.1","125.3","178","912","19","0"
"202","614.6","2416.2","125.4","177","910","21","0"
"203","617.6","2428.2","125.5","177","909","20","0"
"204","620.6","2440.1","125.5","177","909","20","0"
"205","623.6","2452.0","125.5","177","909","20","0"
"206","626.6","2463.9","125.6","177","907","19","0"
"207","629.6","2475.6","126.9","171","889","19","0"
"208","632.6","2487.6","127.1","170","886","20","0"
"209","635.6","2499.5","126.7","172","892","20","0"
"210","638.6","2511.2","127.0","171","888","21","0"
"211","641.6","2522.9","128.0","167","874","20","0"
"212","644.6","2534.7","128.0","167","874","20","0"
"213","647.6","2546.5","128.2","166","871","20","0"
"214","650.6","2558.2","127.6","168","879","20","0"
"215","653.6","2569.9","128.3","166","870","20","0"
"216","656.6","2581.6","128.6","165","866","20","0"
"217","660.1","2595.5","128.3","166","870","20","0"
"218","662.6","2605.1","128.3","166","870","20","0"
"219","665.6","2617.1","127.4","169","882","20","0"
"220","668.6","2629.2","125.3","178","912","20","0"
"221","671.6","2641.3","124.8","180","919","21","0"
"222","674.6","2653.5","124.2","183","928","20","0"
"223","677.6","2665.5","124.3","182","927","20","0"
"224","680.6","2677.8","124.5","181","924","20","0"
"225","683.6","2690.0","123.1","188","945","20","0"
"226","686.6","2702.2","123.6","185","937","21","0"
"227","689.6","2714.4","123.2","187","944","21","0"
"228","692.6","2726.8","122.8","189","950","21","0"
"229","695.1","2737.1","122.8","189","950","21","0"
"230","698.1","2749.6","120.4","201","990","22","0"
"231","701.1","2761.8","121.0","198","979","21","0"
"232","704.1","2774.0","122.9","189","948","20","0"
"233","707.1","2786.2","123.2","187","944","20","0"
"234","710.1","2798.2","123.7","185","936","20","0"
"235","713.1","2810.4","125.1","179","915","20","0"
"236","716.1","2822.5","124.7","180","921","20","0"
"237","719.1","2834.5","124.5","181","924","20","0"
"238","722.1","2846.6","124.5","181","924","20","0"
"239","725.1","2858.7","124.4","182","925","20","0"
"240","728.1","2870.8","124.8","180","919","21","0"
"241","731.1","2882.8","125.0","179","916","20","0"
"242","733.6","2892.5","125.0","179","916","20","0"
"243","736.6","2904.5","125.9","175","903","21","0"
"244","739.6","2916.5","125.8","176","905","20","0"
"245","742.6","2928.4","126.0","175","902","20","0"
"246","745.6","2940.4","125.9","175","903","20","0"
"247","749.1","2954.7","125.1","179","915","20","0"
"248","752.1","2966.8","124.2","183","928","20","0"
"249","755.1","2978.8","125.3","178","912","20","0"
"250","758.1","2990.7","125.7","176","906","20","0"
"251","761.1","3002.6","126.2","174","899","20","0"
"252","764.1","3014.5","126.5","173","895","20","0"
"253","766.6","3024.3","126.5","173","895","20","0"
"254","769.6","3036.3","126.5","173","895","20","0"
"255","772.6","3048.4","125.8","176","905","21","0"
"256","775.6","3060.3","126.2","174","899","21","0"
